id,label,group,nodesize
Walter Mendes de Azevedo,Walter Mendes de Azevedo,10,5
João Henrique Lopes,João Henrique Lopes,19,5
Pedro Barquinha,Pedro Barquinha,13,5
VARLEI RODRIGUES,VARLEI RODRIGUES,10,5
Guilherme da Silva Lopes Fabris,Guilherme da Silva Lopes Fabris,18,5
Eralci Moreira Therézio,Eralci Moreira Therézio,2,5
Alexandra Ancelmo Piscitelli Mansur,Alexandra Ancelmo Piscitelli Mansur,12,5
Ana Luísa Terasawa Senra,Ana Luísa Terasawa Senra,16,5
Marcel Tadashi Izumi,Marcel Tadashi Izumi,16,5
GUSTAVO MARTINI DALPIAN,GUSTAVO MARTINI DALPIAN,1,5
Karine Anselme,Karine Anselme,2,5
Cristiano Francico Woellner,Cristiano Francico Woellner,9,5
Adrianne Marlise Mendes Brito,Adrianne Marlise Mendes Brito,4,5
Gustavo Sanguino Dias,Gustavo Sanguino Dias,8,5
Thales Rafael Machado,Thales Rafael Machado,11,4
Sabrina Nicoleti Carvalho dos Santos,Sabrina Nicoleti Carvalho dos Santos,4,4
Milton Sergio Fernandes de Lima,Milton Sergio Fernandes de Lima,4,4
Sabrina Aléssio Camacho,Sabrina Aléssio Camacho,22,4
Roberto Mendonça Faria,Roberto Mendonça Faria,1,4
Fabio Simões de Vicente,Fabio Simões de Vicente,10,4
José Manoel Marconcini,José Manoel Marconcini,23,4
Aryane Tofanello,Aryane Tofanello,1,4
FERNANDO PEREIRA SABINO,FERNANDO PEREIRA SABINO,1,4
Fauze Ahmad Aouada,Fauze Ahmad Aouada,15,4
Paula Mantovani dos Santos,Paula Mantovani dos Santos,10,4
Bárbara Souza Damasceno,Bárbara Souza Damasceno,4,4
Jussara Soares da Silva,Jussara Soares da Silva,10,4
Matheus Batista de Lima,Matheus Batista de Lima,23,4
Roseli Kunzel,Roseli Kunzel,4,4
Harald Bock,Harald Bock,7,4
Milene Yumi Maeda,Milene Yumi Maeda,16,4
Victor Lira Chastinet,Victor Lira Chastinet,16,4
Mauricio de Castro,Mauricio de Castro,16,4
